cultura,precipitacao_mm_dia,umidade_especifica_2m_g_kg,umidade_relativa_2m_pct,temperatura_2m_c,rendimento_t_ha,cluster,outlier,score_anomalia,pca_1,pca_2
"Rubber, natural",3085.79,18.34,86.1,26.03,8599,1,False,0.032863528490048255,2.2059817935804475,-1.2221291050498835
"Rubber, natural",2922.18,18.43,85.51,26.23,8337,1,False,0.09593061457188051,1.7950110465074895,-0.13652100981626866
"Rubber, natural",2546.33,18.43,84.23,26.49,9205,0,False,0.08126063070773548,0.40891201012975587,1.4142248842187117
"Rubber, natural",2938.29,18.22,85.42,26.06,9701,1,False,0.0937551917999464,1.3001219260464452,-0.9455063281743323
"Rubber, natural",2771.73,18.38,84.98,26.3,8865,1,False,0.1016703965136771,1.119634742843359,0.3121429752208875
"Rubber, natural",2607.96,18.37,84.67,26.35,7817,0,False,0.12339161896520312,0.607799134468388,0.6884862288993534
"Rubber, natural",2604.59,18.19,83.44,26.43,6275,0,False,0.07777054240886383,-0.40154732157206247,1.1240266359042155
"Rubber, natural",2308.51,18.27,83.65,26.47,6721,0,False,0.09274475386088027,-0.7267581242508836,1.5096979086711941
"Rubber, natural",2410.13,18.58,83.45,26.81,6248,0,False,0.03513566274781099,0.11711683043430163,3.0027205809638997
"Rubber, natural",2967.41,18.67,85.48,26.46,6842,1,False,0.01180085037905343,2.434134432403587,0.8975564576759499
"Rubber, natural",2333.46,18.5,84.85,26.43,5571,0,False,0.09066181234392351,0.4235935137952802,1.2659171923710326
"Rubber, natural",2109.34,18.51,83.52,26.72,5903,0,False,0.03698673713925471,-0.64265974339384,2.8262848328790557
